id,en,fr,es
lib-advice.a_bh_anxiety,Preview new situations with photos or simple stories before they happen. Name the worry ('you're wondering if it will be loud') — being understood shrinks anxiety.,Préparez les situations nouvelles avec des photos ou des histoires simples avant qu'elles arrivent. Nommez l'inquiétude (« tu te demandes si ce sera bruyant ») — se sentir compris fait rétrécir l'anxiété.,
lib-advice.a_bh_rigidity,"Use 'first, then' language and countdown warnings ('two more minutes, then shoes'). When change is unavoidable, keep one familiar anchor — same cup, same song, same seat.","Utilisez le langage « d'abord… ensuite » et les avertissements de décompte (« encore deux minutes, ensuite les souliers »). Quand le changement est inévitable, gardez un repère familier — même verre, même chanson, même place.",
lib-advice.a_bh_selfinjury,Self-injury is a signal worth professional support — mention it to your pediatrician or behaviour team even if it seems minor. Note when it happens; the 'when' usually points to the 'why'.,L'automutilation est un signal qui mérite un soutien professionnel — mentionnez-la au pédiatre ou à l'équipe comportementale même si elle semble mineure. Notez quand elle survient ; le « quand » pointe souvent vers le « pourquoi ».,
lib-advice.a_bh_elopement,"Make a family safety plan: who watches at transitions, ID on your child (bracelet or card in pocket), and teach 'stop' as a game. Tell school and caregivers — everyone should know the plan.","Établissez un plan de sécurité familial : qui surveille aux transitions, une identification sur votre enfant (bracelet ou carte dans la poche), et enseignez « stop » comme un jeu. Prévenez l'école et les proches aidants — tout le monde doit connaître le plan.",
lib-advice.a_bh_aggression,"Aggression usually speaks for something — frustration, overwhelm, a need without words. A behaviour professional can help find the message; meanwhile keep responses calm and consistent.","L'agressivité parle habituellement pour quelque chose — frustration, surcharge, un besoin sans mots. Un professionnel du comportement peut aider à trouver le message ; en attendant, gardez des réponses calmes et constantes.",
lib-advice.a_bh_hyper,"Movement first, focus second: active play before homework or meals. Short tasks with movement breaks beat long sit-downs every time.","Le mouvement d'abord, la concentration ensuite : jeu actif avant les devoirs ou les repas. De courtes tâches avec des pauses mouvement gagnent chaque fois contre les longues périodes assises.",
lib-advice.a_bh_peers_no,"Start with 'alongside' play, not 'together' play — same room, same activity, no pressure to interact. Connection often begins with simply sharing space comfortably.","Commencez par le jeu « à côté », pas le jeu « ensemble » — même pièce, même activité, aucune pression d'interagir. Le lien commence souvent par partager l'espace confortablement.",
lib-advice.a_bh_interact_sometimes,"Short, structured playdates work best: one friend, one planned activity, a clear end time. End on a high note so the memory is good.","Les rencontres de jeu courtes et structurées fonctionnent le mieux : un ami, une activité planifiée, une fin claire. Terminez sur une bonne note pour que le souvenir soit bon.",
lib-advice.a_bh_follows_no,"Get close, say their name, one short instruction, then wait — walking over beats calling across the room. Pair words with gestures or showing.","Approchez-vous, dites son nom, une consigne courte, puis attendez — se déplacer vaut mieux que crier d'une pièce à l'autre. Accompagnez les mots de gestes ou d'une démonstration.",
lib-advice.a_ed_iep_no,Ask the school in writing about starting an IEP (plan d'intervention) — a written request starts formal timelines. Bring reports and this passport; you know your child best.,Demandez à l'école par écrit d'amorcer un plan d'intervention — une demande écrite déclenche les délais officiels. Apportez les rapports et ce passeport ; c'est vous qui connaissez le mieux votre enfant.,
lib-advice.a_ed_iep_yes,"Before each IEP meeting, jot three things going well and three concerns. You're an equal member of that team — ask for goals to be specific and measurable.","Avant chaque rencontre de plan d'intervention, notez trois choses qui vont bien et trois préoccupations. Vous êtes un membre à part entière de cette équipe — demandez des objectifs précis et mesurables.",
lib-advice.a_ed_flight,"Ask the school what their supervision plan is at high-risk moments (arrival, recess, transitions) and share what works at home. Consistency between home and school keeps everyone safer.","Demandez à l'école quel est son plan de surveillance aux moments à risque (arrivée, récréation, transitions) et partagez ce qui fonctionne à la maison. La constance entre la maison et l'école protège tout le monde.",
lib-advice.a_ed_transition,"Start transition prep early: visit the new place when it's quiet, take photos to review at home, and meet key adults ahead of time. Familiarity turns big changes into small ones.","Préparez les transitions tôt : visitez le nouvel endroit quand c'est tranquille, prenez des photos à revoir à la maison, et rencontrez les adultes clés à l'avance. La familiarité transforme les grands changements en petits.",
lib-advice.a_bi_lostskills,"Skill loss is always worth discussing with your pediatrician, even when it happened a while ago — note roughly when and which skills, and bring that to your next visit.","Une perte d'habiletés vaut toujours une discussion avec le pédiatre, même si elle date d'un moment — notez environ quand et quelles habiletés, et apportez ça à votre prochaine visite.",
lib-advice.a_th_waitlist,"While you wait: ask each waitlist for their cancellation list, and ask providers what you can practice at home meanwhile. Waiting time can still be progress time.","Pendant l'attente : demandez à chaque liste d'attente sa liste d'annulation, et demandez aux professionnels quoi pratiquer à la maison entre-temps. Le temps d'attente peut rester du temps de progrès.",
lib-advice.a_th_none,Many families start with one service matched to the biggest need rather than everything at once. Your top priority in this passport is a good compass for where to begin.,Beaucoup de familles commencent par un seul service jumelé au plus grand besoin plutôt que tout en même temps. Votre priorité principale dans ce passeport est une bonne boussole pour savoir où commencer.,
lib-advice.a_gl_comm,"Since communication is a family priority: pick one daily routine (bath, snack, car ride) and make it your 'talking time' — same time, low pressure, child's favourite topic.","Puisque la communication est une priorité familiale : choisissez une routine quotidienne (bain, collation, trajet en auto) et faites-en votre « moment jasette » — même heure, faible pression, sujet préféré de l'enfant.",
lib-advice.a_gl_friend,"Since friendships are a family priority: one warm peer connection is worth more than many acquaintances. Look for a 'matched' buddy — similar interests, patient temperament.","Puisque les amitiés sont une priorité familiale : un lien chaleureux avec un pair vaut plus que beaucoup de connaissances. Cherchez un ami « assorti » — intérêts semblables, tempérament patient.",
lib-advice.a_gl_emo,"Since emotional regulation is a priority: build the calm-down toolkit together in happy moments — a cozy corner, a breathing trick, a favourite squeeze toy. Tools chosen together get used.","Puisque la régulation émotionnelle est une priorité : bâtissez ensemble le coffre à outils d'apaisement dans les moments heureux — un coin douillet, un truc de respiration, un jouet à presser préféré. Les outils choisis ensemble sont ceux qu'on utilise.",
lib-advice.a_gl_school,"Since school success is a priority: a small daily home-school notebook (one line each way) catches small issues before they grow, and celebrates small wins the report card misses.","Puisque la réussite scolaire est une priorité : un petit carnet maison-école quotidien (une ligne dans chaque sens) attrape les petits problèmes avant qu'ils grossissent, et célèbre les petites victoires que le bulletin ne voit pas.",
lib-data.fp_dtc,Disability Tax Credit,Crédit d'impôt pour personnes handicapées,
lib-data.fp_dtc_note,Gateway program,Porte d'entrée,
lib-data.fp_cdb,Child Disability Benefit,Prestation pour enfants handicapés,
lib-data.fp_cdb_note,"Up to $3,411/yr",Jusqu'à 3 411 $/an,
lib-data.fp_rdsp,Registered Disability Savings Plan,Régime enregistré d'épargne-invalidité (REEI),
lib-data.fp_rdsp_note,"Grants up to $3,500/yr",Subventions jusqu'à 3 500 $/an,
lib-data.fp_qc_supplement,Supplement for Handicapped Children,Supplément pour enfant handicapé,
lib-data.fp_qc_supplement_note,$241/month,241 $/mois,
lib-data.fp_qc_exceptional,Supplement — Exceptional Care,Supplément — soins exceptionnels,
lib-data.fp_qc_exceptional_note,"Tier 1 ~$1,191/mo",Palier 1 ~1 191 $/mois,
lib-data.fp_qc_family_alloc,Family Allowance,Allocation famille,
lib-data.fp_qc_family_alloc_note,Income-based,Selon le revenu,
lib-data.fp_qc_family_supp,Family Support Program,Programme de soutien à la famille,
lib-data.fp_qc_family_supp_note,Respite & childcare,Répit et garde,
lib-data.level_federal,Federal,Fédéral,
lib-data.level_quebec,Québec,Québec,
lib-data.st_not_started,Not started,Non commencée,
lib-data.st_started,Started,Commencée,
lib-data.st_submitted,Submitted,Soumise,
lib-data.st_approved,Approved,Approuvée,
lib-data.st_denied,Denied,Refusée,
lib-data.rel_today,today,aujourd'hui,
lib-data.rel_yesterday,yesterday,hier,
lib-data.rel_days,{n} days ago,il y a {n} jours,
lib-data.rel_week1,1 week ago,il y a 1 semaine,
lib-data.rel_weeks,{n} weeks ago,il y a {n} semaines,
lib-data.toast_signedBack,Signed back in automatically — everything's still here ✓,Reconnexion automatique réussie — tout est encore là ✓,
lib-data.toast_offline,Can't reach the server — check your connection. Nothing is lost.,Impossible de joindre le serveur — vérifiez votre connexion. Rien n'est perdu.,
lib-data.yourChild,Your child,Votre enfant,
lib-data.notEnoughData,Not enough data,Pas assez de données,
lib-data.act_completeOne,Complete the 1 remaining profile section,Complétez la dernière section de profil restante,
lib-data.act_completeMany,Complete the {n} remaining profile sections,Complétez les {n} sections de profil restantes,
lib-data.act_upload,Upload your child's latest report,Téléversez le plus récent rapport de votre enfant,
lib-data.act_funding,Review funding options for 2026,Passez en revue les options de financement pour 2026,
lib-history.oh_commStyle,Communication style,Style de communication,
lib-history.oh_expressNeeds,Expresses needs,Exprime ses besoins,
lib-history.oh_eating,Eating,Alimentation,
lib-history.oh_dressing,Dressing,Habillage,
lib-history.oh_toileting,Toileting,Propreté,
lib-history.oh_sleep,Sleep,Sommeil,
lib-history.oh_safety,Safety awareness,Conscience de la sécurité,
lib-history.oh_peersInterest,Interest in other children,Intérêt pour les autres enfants,
lib-history.oh_peersInteract,Plays with peers,Joue avec les pairs,
lib-history.oh_follows,Follows instructions,Suit les consignes,
lib-history.ch_meltdowns,Meltdowns,Crises,
lib-history.ch_emotional,Emotional regulation,Régulation émotionnelle,
lib-history.ch_anxiety,Anxiety,Anxiété,
lib-history.ch_rigidity,Rigidity around routines,Rigidité autour des routines,
lib-history.ch_aggression,Aggression,Agressivité,
lib-history.ch_selfInjury,Self-injury,Automutilation,
lib-history.ch_repetitive,Repetitive behaviours,Comportements répétitifs,
lib-history.ch_defiance,Defiance,Opposition,
lib-history.ch_hyperactivity,Hyperactivity,Hyperactivité,
lib-history.ch_elopement,Elopement,Fugue,
lib-history.notAnswered,not answered,sans réponse,
lib-history.notNoted,not noted,non noté,
lib-history.hadSens,had sensitivities,avait des sensibilités,
lib-history.nowComfortable,now comfortable,maintenant à l'aise,
lib-history.comfortable,comfortable,à l'aise,
lib-history.newSens,new sensitivities noted,nouvelles sensibilités notées,
lib-history.sensSuffix,{sense} sensitivity,Sensibilité — {sense},
lib-history.newComm,New way to communicate,Nouveau moyen de communiquer,
lib-history.joinedTeam,Joined the team,S'ajoute à l'équipe,
lib-history.dxRecorded,Diagnosis recorded,Diagnostic enregistré,
lib-insights.s_commVerbal,Communicates verbally,Communique verbalement,
lib-insights.s_usesWords,Uses words,Utilise des mots,
lib-insights.s_usesSentences,Uses sentences,Fait des phrases,
lib-insights.s_usesSign,Uses sign language,Utilise la langue des signes,
lib-insights.s_usesAAC,Uses an AAC device,Utilise un appareil de CAA,
lib-insights.s_usesPECS,Uses picture communication,Communique par images,
lib-insights.s_expressReliably,Expresses needs reliably,Exprime ses besoins de façon fiable,
lib-insights.n_buildSpoken,Building spoken communication,Développer la communication orale,
lib-insights.n_requesting,Requesting things,Demander des choses,
lib-insights.n_conversation,Back-and-forth conversation,La conversation à tour de rôle,
lib-insights.n_questions,Answering questions,Répondre aux questions,
lib-insights.n_feelingsWords,Putting feelings into words,Mettre des mots sur ses émotions,
lib-insights.n_socialComm,Social communication,La communication sociale,
lib-insights.n_expressing,Expressing needs,Exprimer ses besoins,
lib-insights.st_visualCards,Visual supports and picture cards,Supports visuels et cartes d'images,
lib-insights.st_choices,Offer simple choices,Offrir des choix simples,
lib-insights.st_modelPhrases,"Model short, clear phrases",Modéliser des phrases courtes et claires,
lib-insights.st_extraTime,Give a little extra time to respond,Laisser un peu plus de temps pour répondre,
lib-insights.s_peersInterest,Shows interest in other children,Montre de l'intérêt pour les autres enfants,
lib-insights.s_peersPlays,Plays with peers,Joue avec les pairs,
lib-insights.s_peersAlongside,Plays alongside peers,Joue à côté des pairs,
lib-insights.n_connecting,Connecting with other children,Créer des liens avec les autres enfants,
lib-insights.n_backForthPlay,Back-and-forth play,Le jeu à tour de rôle,
lib-insights.st_structured,"Structured, shared activities",Activités structurées et partagées,
lib-insights.st_turnGames,Turn-taking games,Jeux de tour de rôle,
lib-insights.st_playDates,Short play dates with clear roles,Courtes rencontres de jeu avec des rôles clairs,
lib-insights.st_socialStories,Social stories before new situations,Scénarios sociaux avant les situations nouvelles,
lib-insights.s_comfortWith,Comfortable with {sense},À l'aise — {sense},
lib-insights.n_senseLine,{sense}: {rest},{sense} : {rest},
lib-insights.ctx_yourNote,Your note: {note},Votre note : {note},
lib-insights.st_sensoryBreaks,Sensory breaks through the day,Pauses sensorielles au fil de la journée,
lib-insights.st_headphones,Noise-reducing headphones in loud places,Casque antibruit dans les endroits bruyants,
lib-insights.st_deepPressure,Ask your OT about deep-pressure input,Demandez à l'ergothérapeute des activités de pression profonde,
lib-insights.st_prepTriggers,Prepare for known triggers in advance,Préparer à l'avance les déclencheurs connus,
lib-insights.s_handlesChange,Handles changes fairly well,Gère plutôt bien les changements,
lib-insights.n_routineChanges,Changes in routine,Les changements de routine,
lib-insights.n_someTransitions,Some difficulty with transitions,Une certaine difficulté avec les transitions,
lib-insights.st_visualSchedules,Visual schedules,Horaires visuels,
lib-insights.st_countdown,Countdown warnings before transitions,Avertissements de décompte avant les transitions,
lib-insights.st_firstThen,First then language,Le langage « d'abord… ensuite »,
lib-insights.st_keepRoutines,Keep routines predictable where you can,Garder les routines prévisibles autant que possible,
lib-insights.s_calm,Generally calm and settled,Généralement calme et posé,
lib-insights.n_meltdowns,Big emotional reactions / meltdowns,Grandes réactions émotionnelles / crises,
lib-insights.n_regulating,Regulating emotions in the moment,Réguler ses émotions sur le moment,
lib-insights.n_anxiety,Anxiety,Anxiété,
lib-insights.ctx_triggers,Known triggers: {t},Déclencheurs connus : {t},
lib-insights.st_calmSpace,A calm-down space,Un coin d'apaisement,
lib-insights.st_namingFeelings,Naming feelings together,Nommer les émotions ensemble,
lib-insights.st_breathing,Simple breathing or counting,Respiration simple ou compter ensemble,
lib-insights.st_stayCalm,Stay calm and steady during big feelings,Rester calme et stable pendant les grandes émotions,
lib-insights.s_multiStep,Follows multi-step instructions,Suit des consignes à plusieurs étapes,
lib-insights.s_safetyAware,Good safety awareness,Bonne conscience de la sécurité,
lib-insights.n_multiStep,Following multi-step instructions,Suivre des consignes à plusieurs étapes,
lib-insights.n_focus,Staying focused / sitting still,Rester concentré / rester assis,
lib-insights.n_directions,Following directions,Suivre les consignes,
lib-insights.st_smallSteps,Break tasks into small steps,Découper les tâches en petites étapes,
lib-insights.st_checklists,Visual checklists,Listes de vérification visuelles,
lib-insights.st_timers,Use timers for activities,Utiliser des minuteries pour les activités,
lib-insights.st_oneInstruction,One instruction at a time,Une consigne à la fois,
lib-insights.s_eats,Eats independently,Mange de façon autonome,
lib-insights.s_dresses,Dresses independently,S'habille de façon autonome,
lib-insights.s_toilet,Toilet trained,Propreté acquise,
lib-insights.s_sleeps,Sleeps well,Dort bien,
lib-insights.n_eating,Eating skills,Manger seul,
lib-insights.n_dressing,Dressing skills,Habiletés d'habillage,
lib-insights.n_toileting,Toilet training,Apprentissage de la propreté,
lib-insights.n_feeding,Feeding,Difficultés alimentaires,
lib-insights.n_fineMotor,Fine motor skills,Motricité fine,
lib-insights.n_grossMotor,Gross motor skills,Motricité globale,
lib-insights.st_stepRoutines,Visual step-by-step routines,Routines visuelles étape par étape,
lib-insights.st_adaptiveTools,"Adaptive tools (easy-grip, velcro)","Outils adaptés (prise facile, velcro)",
lib-insights.st_oneSkill,Practice one skill at a time,Pratiquer une habileté à la fois,
lib-insights.st_celebrate,Celebrate small wins,Célébrer les petites victoires,
lib-insights.s_engages,Engages deeply with {interests},S'investit à fond dans {interests},
lib-insights.st_buildInterests,Build learning around their interests,Bâtir les apprentissages autour de ses intérêts,
lib-insights.st_playBased,Play-based teaching,Enseignement par le jeu,
lib-insights.st_shortSessions,"Short, frequent sessions",Séances courtes et fréquentes,
lib-insights.st_handsOn,Visual and hands-on materials,Matériel visuel et concret,
lib-insights.g_topIntense,{name} needs the most support with {domain},{name} a surtout besoin de soutien en {domain},
lib-insights.g_topSteady,{name} seems to benefit most from steady support with {domain},{name} semble surtout bénéficier d'un soutien régulier en {domain},
lib-insights.g_especially, — especially {list}, — surtout {list},
lib-insights.g_startingPoints,Good starting points: {list}.,Bons points de départ : {list}.,
lib-insights.g_second,"For {domain}, {rest}","Côté {domain}, {rest}",
lib-insights.g_goesLongWay,{s} can go a long way,{s} peut faire une grande différence,
lib-insights.g_routinesLongWay,small consistent routines can go a long way,de petites routines constantes peuvent faire une grande différence,
lib-insights.g_leanStrengths,Lean on {name}'s strengths in {list},Misez sur les forces {of}{name} en {list},
lib-insights.g_buildPractice, — building practice around {list} helps new skills stick, — pratiquer autour de {list} aide les nouvelles habiletés à s'ancrer,
lib-insights.g_buildPracticeSolo,Building practice around {list} helps new skills stick.,Pratiquer autour de {list} aide les nouvelles habiletés à s'ancrer.,
lib-insights.g_sensory,"Because {list} can be a lot for {name}, plan sensory breaks and prepare for known triggers in advance.","Comme certains stimuli ({list}) peuvent être exigeants pour {name}, prévoyez des pauses sensorielles et préparez à l'avance les déclencheurs connus.",
lib-insights.g_triggers,Keep the known triggers in mind ({t}) and give warnings before they come up.,Gardez en tête les déclencheurs connus ({t}) et annoncez-les avant qu'ils surviennent.,
lib-insights.yourChild,Your child,Votre enfant,
lib-journey.stg_understand,Understanding your child,Comprendre votre enfant,
lib-journey.stg_understand_blurb,"The passport, a diagnosis, and the paper trail — the picture everything else is built on.","Le passeport, un diagnostic et le dossier — le portrait sur lequel tout le reste s'appuie.",
lib-journey.stg_team,Finding the right help,Trouver la bonne aide,
lib-journey.stg_team_blurb,Matching professionals to the exact areas where the wheel says support helps most.,Jumeler des professionnels aux domaines précis où la roue indique que le soutien aide le plus.,
lib-journey.stg_support,Money & school,Argent et école,
lib-journey.stg_support_blurb,"Funding and school accommodations — the safety net around the work. It can wait a beat, but don't skip it.","Le financement et les mesures scolaires — le filet de sécurité autour du travail. Ça peut attendre un peu, mais ne le sautez pas.",
lib-journey.stg_thrive,Everyday life,La vie de tous les jours,
lib-journey.stg_thrive_blurb,"Keeping the profile alive, celebrating wins, and finding your people.","Garder le profil vivant, célébrer les victoires et trouver votre communauté.",
lib-journey.yourChild,your child,votre enfant,
lib-journey.p_titleGood,The passport is in great shape,Le passeport est en excellente forme,
lib-journey.p_titleTell,Tell us more about {name},Parlez-nous davantage {of}{name},
lib-journey.p_whyGood,Every recommendation on this page is built from it — keep it close.,Chaque recommandation de cette page en découle — gardez-le à portée de main.,
lib-journey.p_whyTell,"Every answer sharpens the wheel, the provider matches, and this very path. Ten minutes here pays off everywhere.","Chaque réponse affine la roue, les jumelages de professionnels et ce parcours même. Dix minutes ici rapportent partout.",
lib-journey.p_because,{done} of {total} passport sections filled,{done} sections du passeport remplies sur {total},
lib-journey.p_ctaGood,Review the passport,Revoir le passeport,
lib-journey.p_ctaTell,Continue the passport,Poursuivre le passeport,
lib-journey.dxd_title,Diagnosis on file,Diagnostic au dossier,
lib-journey.dxd_why,"It anchors funding applications, school plans, and provider intakes — keep the report safe in the vault.","Il ancre les demandes de financement, les plans scolaires et les admissions chez les professionnels — gardez le rapport en sécurité dans le coffre.",
lib-journey.dxd_becauseList,"you recorded ""{list}""",vous avez inscrit « {list} »,
lib-journey.dxd_becauseStatus,"diagnosis status: ""{status}""",statut du diagnostic : « {status} »,
lib-journey.dxd_cta,See the records,Voir les dossiers,
lib-journey.dxp_title,Keep the assessment moving,Faites avancer l'évaluation,
lib-journey.dxp_why,"Ask to be on the cancellation list, and gather daycare or school observations while you wait — they make the appointment count double.",Demandez d'être sur la liste d'annulation et recueillez les observations de la garderie ou de l'école en attendant — elles doublent la valeur du rendez-vous.,
lib-journey.dxp_because,"you answered ""{status}"" for diagnosis status",vous avez répondu « {status} » au statut du diagnostic,
lib-journey.dxp_cta,Read the diagnosis guide,Lire le guide du diagnostic,
lib-journey.dxp_also,Find assessment professionals,Trouver des professionnels en évaluation,
lib-journey.dxs_title,Start the diagnosis conversation,Amorcez la démarche de diagnostic,
lib-journey.dxs_why,"A formal assessment opens most doors in Québec — school support, many services, and later the funding programs. Your pediatrician or CLSC is the usual first referral, and the guide walks you through it.","Une évaluation formelle ouvre la plupart des portes au Québec — le soutien scolaire, plusieurs services, puis les programmes de financement. Votre pédiatre ou le CLSC est habituellement la première référence, et le guide vous accompagne étape par étape.",
lib-journey.dxs_becauseEmpty,the diagnosis section is empty so far,la section diagnostic est encore vide,
lib-journey.rp_titleSafe,Reports are safe in the vault,Les rapports sont en sécurité dans le coffre,
lib-journey.rp_titleUpload,Upload any reports you already have,Téléversez les rapports que vous avez déjà,
lib-journey.rp_whySafe,"Stored once, shared many times — every new professional will thank you.","Enregistrés une fois, partagés autant de fois que nécessaire — chaque nouveau professionnel vous en remerciera.",
lib-journey.rp_whyUpload,"Old evaluations, daycare notes, referral letters — professionals ask for these again and again. One upload, never lost.","Anciennes évaluations, notes de la garderie, lettres de référence — les professionnels les redemandent sans cesse. Un seul téléversement, jamais perdus.",
lib-journey.rp_becauseOne,{n} document in the vault,{n} document dans le coffre,
lib-journey.rp_becauseMany,{n} documents in the vault,{n} documents dans le coffre,
lib-journey.rp_becauseEmpty,the document vault is empty,le coffre de documents est vide,
lib-journey.rp_ctaOpen,Open the vault,Ouvrir le coffre,
lib-journey.rp_ctaUpload,Upload a report,Téléverser un rapport,
lib-journey.wf_title,Answer the wheel questions first,Répondez d'abord aux questions de la roue,
lib-journey.wf_why,"The communication, sensory, behaviour and daily-living sections tell us which kind of help actually fits {name} — a few minutes unlocks personalized matches right here.","Les sections communication, sensoriel, comportement et vie quotidienne nous disent quel type d'aide convient vraiment à {name} — quelques minutes débloquent des jumelages personnalisés ici même.",
lib-journey.wf_because,only {n} of 8 wheel areas have enough answers,seulement {n} domaines de la roue sur 8 ont assez de réponses,
lib-journey.j_becauseDomain,{domain} shows {band} on the wheel · {team},{domain} indique « {band} » sur la roue · {team},
lib-journey.tm_on,on the team: {list},dans l'équipe : {list},
lib-journey.tm_none,no services on the team yet,aucun service dans l'équipe pour l'instant,
lib-journey.slp_titleDone,Speech-language therapy is in place,L'orthophonie est en place,
lib-journey.slp_titleCould,Speech-language therapy could help {name},L'orthophonie pourrait aider {name},
lib-journey.slp_whyDone,You're covering the communication work. Ask the SLP what to practice at home between sessions.,Le travail en communication est couvert. Demandez à l'orthophoniste quoi pratiquer à la maison entre les séances.,
lib-journey.slp_whyCould,"SLPs work on exactly what the wheel is flagging — requesting, back-and-forth, being understood. Here's how to reach out and what to ask on the first call.","Les orthophonistes travaillent exactement ce que la roue signale — demander, échanger à tour de rôle, se faire comprendre. Voici comment les joindre et quoi demander au premier appel.",
lib-journey.slp_teamOn,speech therapy on the team,orthophonie dans l'équipe,
lib-journey.slp_teamOff,no speech therapy on the team,pas d'orthophonie dans l'équipe,
lib-journey.slp_ctaSee,See providers,Voir les professionnels,
lib-journey.slp_ctaFind,Find SLP providers,Trouver des orthophonistes,
lib-journey.slp_also,How to reach out to SLPs,Comment joindre les orthophonistes,
lib-journey.focus_sensory,sensory regulation,la régulation sensorielle,
lib-journey.focus_daily,daily-living independence,l'autonomie au quotidien,
lib-journey.ot_titleDone,Occupational therapy is in place,L'ergothérapie est en place,
lib-journey.ot_titleCould,An OT could help with {focus},L'ergothérapie pourrait aider pour {focus},
lib-journey.ot_whyDone,OT is covering the {focus} work — bring the passport to sessions so nothing gets re-explained.,L'ergothérapie couvre le travail sur {focus} — apportez le passeport aux séances pour ne rien réexpliquer.,
lib-journey.ot_whyCould,"Occupational therapists specialize in exactly this: sensory diets, routines that stick, fine-motor confidence.","Les ergothérapeutes se spécialisent exactement là-dedans : diètes sensorielles, routines qui tiennent, confiance en motricité fine.",
lib-journey.ot_teamOn,OT on the team,ergothérapie dans l'équipe,
lib-journey.ot_teamOff,no OT on the team,pas d'ergothérapie dans l'équipe,
lib-journey.ot_ctaFind,Find OT providers,Trouver des ergothérapeutes,
lib-journey.bh_titleDone,Behaviour support is in place,Le soutien comportemental est en place,
lib-journey.bh_titleCould,Support for big feelings & transitions,Du soutien pour les grandes émotions et les transitions,
lib-journey.bh_whyDone,Keep sharing what works at home — consistency between settings is where the gains come from.,Continuez de partager ce qui fonctionne à la maison — la constance entre les milieux est la source des progrès.,
lib-journey.bh_whyCould,A behaviour consultant or psychoeducator can build a calm-down and transitions plan the whole family can follow.,Un consultant en comportement ou un psychoéducateur peut bâtir un plan d'apaisement et de transitions que toute la famille peut suivre.,
lib-journey.bh_teamOn,behaviour support on the team,soutien comportemental dans l'équipe,
lib-journey.bh_teamOff,no behaviour support on the team,pas de soutien comportemental dans l'équipe,
lib-journey.bh_ctaFind,Find behaviour support,Trouver du soutien comportemental,
lib-journey.so_title,"Start with one service, not five","Commencez par un service, pas cinq",
lib-journey.so_why,"Families burn out chasing everything at once. Your top need on the wheel is the compass — one good fit first, the rest follow.","Les familles s'épuisent à tout courir en même temps. Votre besoin principal sur la roue est la boussole — un bon jumelage d'abord, le reste suivra.",
lib-journey.so_cta,See matched providers,Voir les professionnels jumelés,
lib-journey.wl_titleOn,You're on provider waitlists,Vous êtes sur des listes d'attente,
lib-journey.wl_titleJoin,Join provider waitlists early,Inscrivez-vous tôt aux listes d'attente,
lib-journey.wl_whyOn,Ask each list about cancellations — spots open up more often than you'd think.,Demandez à chaque liste s'il y a des annulations — des places se libèrent plus souvent qu'on pense.,
lib-journey.wl_whyJoin,"Québec waitlists run long — a spot costs nothing to hold, and you can always decline later.","Au Québec, les listes d'attente sont longues — garder une place ne coûte rien, et vous pourrez toujours refuser plus tard.",
lib-journey.wl_becauseOn,waitlist signups found for your account,des inscriptions à des listes d'attente sont liées à votre compte,
lib-journey.wl_becauseNone,no waitlist signups yet,aucune inscription à une liste d'attente pour l'instant,
lib-journey.wl_ctaCheck,Check waitlists,Vérifier les listes d'attente,
lib-journey.wl_ctaJoin,Join waitlists,Rejoindre des listes d'attente,
lib-journey.dtc_titleStarted,Disability Tax Credit started,Crédit d'impôt pour personnes handicapées amorcé,
lib-journey.dtc_titleApply,Apply for the Disability Tax Credit,Demandez le crédit d'impôt pour personnes handicapées,
lib-journey.dtc_whyStarted,The gateway credit is moving — it unlocks the Child Disability Benefit and the RDSP next.,Le crédit porte d'entrée avance — il débloque ensuite la Prestation pour enfants handicapés et le REEI.,
lib-journey.dtc_whyApply,"The gateway credit most families miss — it unlocks the Child Disability Benefit (up to $3,411/yr) and the RDSP.",Le crédit porte d'entrée que la plupart des familles manquent — il débloque la Prestation pour enfants handicapés (jusqu'à 3 411 $/an) et le REEI.,
lib-journey.dtc_whyPrepare, You can prepare it now and file once the diagnosis lands., Vous pouvez le préparer dès maintenant et le déposer une fois le diagnostic reçu.,
lib-journey.dtc_becauseDx,diagnosis on file,diagnostic au dossier,
lib-journey.dtc_becauseNoDx,no diagnosis on file yet,pas encore de diagnostic au dossier,
lib-journey.dtc_because,{dx} · DTC {st},{dx} · CIPH {st},
lib-journey.dtc_started,started,amorcé,
lib-journey.dtc_notStarted,not started,non amorcé,
lib-journey.dtc_ctaOpen,Open funding,Ouvrir le financement,
lib-journey.dtc_ctaStart,Start with tax credits,Commencer par les crédits d'impôt,
lib-journey.pg_title,Walk through all 7 funding programs,Parcourez les 7 programmes de financement,
lib-journey.pg_why,Federal and Québec programs stack — the navigator checks each one against {name}'s profile.,Les programmes fédéraux et québécois se cumulent — le navigateur vérifie chacun selon le profil {of}{name}.,
lib-journey.pg_because,{n} of 7 programs started,{n} programmes sur 7 amorcés,
lib-journey.pg_cta,Open the navigator,Ouvrir le navigateur,
lib-journey.iepd_title,IEP is in place,Le plan d'intervention est en place,
lib-journey.iepd_why,Before each meeting: jot three things going well and three concerns. Ask for goals that are specific and measurable.,Avant chaque rencontre : notez trois choses qui vont bien et trois préoccupations. Demandez des objectifs précis et mesurables.,
lib-journey.iepd_because,"you answered ""Yes"" to having an IEP",vous avez répondu « Oui » à la question du plan d'intervention,
lib-journey.iepd_cta,IEP meeting guide,Guide des rencontres de PI,
